Name,LocalizedName,FontScalingByWidestWord,FileName,Enabled,SystemFont,ForcedFontFullName,WordListName,HelpshiftSDKLanguage,HelpshiftSDKLanguageAndroid,HelpshiftMetadataLanguage,LevelUpHeaderImage,ReputationLevelUpHeaderImage,TermsOfServiceURL,PrivacyPolicyURL,ParentsGuideURL,BonusRoundHeaderImage,SelfHelpURL,ScidLoginPopupImage,SelfHelpDeleteAccountURL,SelfHelpDerbyURL,SelfHelpDerbyChampionsLeaderboardURL,ValueListURL
String,String,boolean,String,boolean,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String
EN,English,TRUE,localization/texts.csv,true,,,english,en,,EN,https://game-assets.haydaygame.com/static/Level+up/levelup_EN.png,https://game-assets.haydaygame.com/static/Reputation+level+up/rep_levelup_EN.png,https://supercell.com/en/terms-of-service,https://supercell.com/en/privacy-policy,https://supercell.com/en/parents,,https://ingame.help.supercellsupport.com/hay-day/en/index.html,https://game-assets.haydaygame.com/static/inbox_messages/header_images/SCID_Statue/login_illustration_scid_statue.png,https://ingame.help.supercellsupport.com/hay-day/en/articles/gdpr-request-deletion-of-your-personal-data.html,https://ingame.help.supercellsupport.com/hay-day/en/articles/about-the-derby.html,https://ingame.help.supercellsupport.com/hay-day/en/articles/champions-league-leaderboard.html,https://support.supercell.com/hay-day/en/articles/info-hd.html
DE,English,TRUE,localization/texts.csv,true,,,english,en,,EN,https://game-assets.haydaygame.com/static/Level+up/levelup_EN.png,https://game-assets.haydaygame.com/static/Reputation+level+up/rep_levelup_EN.png,https://supercell.com/en/terms-of-service,https://supercell.com/en/privacy-policy,https://supercell.com/en/parents,,https://ingame.help.supercellsupport.com/hay-day/en/index.html,https://game-assets.haydaygame.com/static/inbox_messages/header_images/SCID_Statue/login_illustration_scid_statue.png,https://ingame.help.supercellsupport.com/hay-day/en/articles/gdpr-request-deletion-of-your-personal-data.html,https://ingame.help.supercellsupport.com/hay-day/en/articles/about-the-derby.html,https://ingame.help.supercellsupport.com/hay-day/en/articles/champions-league-leaderboard.html,https://support.supercell.com/hay-day/en/articles/info-hd.html
ES,English,TRUE,localization/texts.csv,true,,,english,en,,EN,https://game-assets.haydaygame.com/static/Level+up/levelup_EN.png,https://game-assets.haydaygame.com/static/Reputation+level+up/rep_levelup_EN.png,https://supercell.com/en/terms-of-service,https://supercell.com/en/privacy-policy,https://supercell.com/en/parents,,https://ingame.help.supercellsupport.com/hay-day/en/index.html,https://game-assets.haydaygame.com/static/inbox_messages/header_images/SCID_Statue/login_illustration_scid_statue.png,https://ingame.help.supercellsupport.com/hay-day/en/articles/gdpr-request-deletion-of-your-personal-data.html,https://ingame.help.supercellsupport.com/hay-day/en/articles/about-the-derby.html,https://ingame.help.supercellsupport.com/hay-day/en/articles/champions-league-leaderboard.html,https://support.supercell.com/hay-day/en/articles/info-hd.html
FR,English,TRUE,localization/texts.csv,true,,,english,en,,EN,https://game-assets.haydaygame.com/static/Level+up/levelup_EN.png,https://game-assets.haydaygame.com/static/Reputation+level+up/rep_levelup_EN.png,https://supercell.com/en/terms-of-service,https://supercell.com/en/privacy-policy,https://supercell.com/en/parents,,https://ingame.help.supercellsupport.com/hay-day/en/index.html,https://game-assets.haydaygame.com/static/inbox_messages/header_images/SCID_Statue/login_illustration_scid_statue.png,https://ingame.help.supercellsupport.com/hay-day/en/articles/gdpr-request-deletion-of-your-personal-data.html,https://ingame.help.supercellsupport.com/hay-day/en/articles/about-the-derby.html,https://ingame.help.supercellsupport.com/hay-day/en/articles/champions-league-leaderboard.html,https://support.supercell.com/hay-day/en/articles/info-hd.html
IT,English,TRUE,localization/texts.csv,true,,,english,en,,EN,https://game-assets.haydaygame.com/static/Level+up/levelup_EN.png,https://game-assets.haydaygame.com/static/Reputation+level+up/rep_levelup_EN.png,https://supercell.com/en/terms-of-service,https://supercell.com/en/privacy-policy,https://supercell.com/en/parents,,https://ingame.help.supercellsupport.com/hay-day/en/index.html,https://game-assets.haydaygame.com/static/inbox_messages/header_images/SCID_Statue/login_illustration_scid_statue.png,https://ingame.help.supercellsupport.com/hay-day/en/articles/gdpr-request-deletion-of-your-personal-data.html,https://ingame.help.supercellsupport.com/hay-day/en/articles/about-the-derby.html,https://ingame.help.supercellsupport.com/hay-day/en/articles/champions-league-leaderboard.html,https://support.supercell.com/hay-day/en/articles/info-hd.html
NL,English,TRUE,localization/texts.csv,true,,,english,en,,EN,https://game-assets.haydaygame.com/static/Level+up/levelup_EN.png,https://game-assets.haydaygame.com/static/Reputation+level+up/rep_levelup_EN.png,https://supercell.com/en/terms-of-service,https://supercell.com/en/privacy-policy,https://supercell.com/en/parents,,https://ingame.help.supercellsupport.com/hay-day/en/index.html,https://game-assets.haydaygame.com/static/inbox_messages/header_images/SCID_Statue/login_illustration_scid_statue.png,https://ingame.help.supercellsupport.com/hay-day/en/articles/gdpr-request-deletion-of-your-personal-data.html,https://ingame.help.supercellsupport.com/hay-day/en/articles/about-the-derby.html,https://ingame.help.supercellsupport.com/hay-day/en/articles/champions-league-leaderboard.html,https://support.supercell.com/hay-day/en/articles/info-hd.html
NO,English,TRUE,localization/texts.csv,true,,,english,en,,EN,https://game-assets.haydaygame.com/static/Level+up/levelup_EN.png,https://game-assets.haydaygame.com/static/Reputation+level+up/rep_levelup_EN.png,https://supercell.com/en/terms-of-service,https://supercell.com/en/privacy-policy,https://supercell.com/en/parents,,https://ingame.help.supercellsupport.com/hay-day/en/index.html,https://game-assets.haydaygame.com/static/inbox_messages/header_images/SCID_Statue/login_illustration_scid_statue.png,https://ingame.help.supercellsupport.com/hay-day/en/articles/gdpr-request-deletion-of-your-personal-data.html,https://ingame.help.supercellsupport.com/hay-day/en/articles/about-the-derby.html,https://ingame.help.supercellsupport.com/hay-day/en/articles/champions-league-leaderboard.html,https://support.supercell.com/hay-day/en/articles/info-hd.html
PT,English,TRUE,localization/texts.csv,true,,,english,en,,EN,https://game-assets.haydaygame.com/static/Level+up/levelup_EN.png,https://game-assets.haydaygame.com/static/Reputation+level+up/rep_levelup_EN.png,https://supercell.com/en/terms-of-service,https://supercell.com/en/privacy-policy,https://supercell.com/en/parents,,https://ingame.help.supercellsupport.com/hay-day/en/index.html,https://game-assets.haydaygame.com/static/inbox_messages/header_images/SCID_Statue/login_illustration_scid_statue.png,https://ingame.help.supercellsupport.com/hay-day/en/articles/gdpr-request-deletion-of-your-personal-data.html,https://ingame.help.supercellsupport.com/hay-day/en/articles/about-the-derby.html,https://ingame.help.supercellsupport.com/hay-day/en/articles/champions-league-leaderboard.html,https://support.supercell.com/hay-day/en/articles/info-hd.html
TR,English,TRUE,localization/texts.csv,true,,,english,en,,EN,https://game-assets.haydaygame.com/static/Level+up/levelup_EN.png,https://game-assets.haydaygame.com/static/Reputation+level+up/rep_levelup_EN.png,https://supercell.com/en/terms-of-service,https://supercell.com/en/privacy-policy,https://supercell.com/en/parents,,https://ingame.help.supercellsupport.com/hay-day/en/index.html,https://game-assets.haydaygame.com/static/inbox_messages/header_images/SCID_Statue/login_illustration_scid_statue.png,https://ingame.help.supercellsupport.com/hay-day/en/articles/gdpr-request-deletion-of-your-personal-data.html,https://ingame.help.supercellsupport.com/hay-day/en/articles/about-the-derby.html,https://ingame.help.supercellsupport.com/hay-day/en/articles/champions-league-leaderboard.html,https://support.supercell.com/hay-day/en/articles/info-hd.html
