Name,Mode,MinExpLevel10,MaxExpLevel10,MinRepLevel,Priority,TID,TID2,RequiredTutorial,AnimationExportName,AnimationTitleTID,ConfirmButtonTID,FileName,HumanExportName,DelayMS,AutoCompleteOtherTutorial,ReplayTutorial,Target,ShopTarget,Action,StartAction,EndAction,RequiredCount,PeopleOrder,ArrowXOffset,ArrowYOffset,GoodReward,PositionX,PositionY,Disabled,TargetData,CinematicDelayMS,ResetOtherTutorial,TutorialGroup,HideIsoScarecrow,OnRails,XpReward,EnsureLevel,CameraOffsetX,CameraOffsetY,FloatingHeadTID,ShowInteractiveAnimation,InteractiveIconName,InteractiveAnimationOffsetX,InteractiveAnimationOffsetY,ShouldHideArrow,FloatingHeadLeftAnchor,FloatingHeadTopAnchor,FloatingHeadLayer,ShowHandSlideAnimation,ShouldShowShopArrow,RestrictedCameraBounds,SetCameraMinScaleMobile,SetCameraMinScaleTablet,FontSize,HideFloatingHeadWhenGOHUDIsVisible,TargetScrollScaleMobile,TargetScrollScaleTablet,ScrollDelayMS,SkipWaitForHud,RestrictedBoundsAreRelative,FloatingHeadExtraTID,HideFloatingHeadWhenShopIsVisible
String,String,int,int,int,int,String,String,String,String,String,String,String,String,int,String,String,String,String,String,String,String,int,String,int,int,String,int,int,Boolean,String,int,String,String,Boolean,Boolean,int,int,int,int,String,Boolean,String,int,int,Boolean,float,float,int,Boolean,Boolean,String,float,float,int,Boolean,float,float,int,Boolean,Boolean,String,Boolean
Step1: Welcome,home,10,,,8,,,,,,,sc/humans.sc,scarecrow,1000,,,,,InstantComplete,,,,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step2: Harvest,home,10,,,9,,,,tutorial_harvest,TID_ANIMATION_Harvest,,sc/humans.sc,scarecrow,,,,,,InstantComplete,,,,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step3: Seeding,home,10,,,9,,,,tutorial_seeding,TID_ANIMATION_Seeding,,sc/humans.sc,scarecrow,,,,,,InstantComplete,,,,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step4: Great!,home,10,,,10,,,,tutorial_great,TID_ANIMATION_CropInfo,,sc/humans.sc,scarecrow,,,,,,InstantComplete,,,,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step5: Paint Main House,home,10,,,11,,,,,,,sc/humans.sc,scarecrow,,,,,,InstantComplete,,,,,50,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step6: Paint Warehouse,home,10,,,12,,,,,,,sc/humans.sc,scarecrow,,,,,,InstantComplete,,,,,,20,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step7: Paint Silo,home,10,,,13,,,,,,,sc/humans.sc,scarecrow,,,,,,InstantComplete,,,,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step8: Claim the habitat,home,10,,,14,,,,,,,sc/humans.sc,scarecrow,,,,,,InstantComplete,,,,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step9: Place first Chicken,home,10,,,15,,,,tutorial_buy_chicken,TID_ANIMATION_BuyChicken,,sc/humans.sc,scarecrow,,,,,,InstantComplete,,,1,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step10: Place second Chicken,home,10,,,16,,,,,,,sc/humans.sc,scarecrow,,,,,,InstantComplete,,,2,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step11: Place third Chicken,home,10,,,17,,,,,,,sc/humans.sc,scarecrow,,,,,,InstantComplete,,,3,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step12: Feed 3 Chickens,home,10,,,18,,,,tutorial_feed_chicken,TID_ANIMATION_FeedChicken,,sc/humans.sc,scarecrow,,,,,,InstantComplete,,,3,,,-40,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step13: Chicken Speedup1,home,10,,,19,,,,,,,sc/humans.sc,scarecrow,,Step52e: Double tap info,,,,InstantComplete,,,,,,-40,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step14: Chicken Speedup2,home,10,,,20,,,,,,,sc/humans.sc,scarecrow,,Step13: Chicken Speedup1,,,,InstantComplete,,,,,,-40,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step15: Chicken Speedup3,home,10,,,21,,,,,,,sc/humans.sc,scarecrow,,Step14: Chicken Speedup2,,,,InstantComplete,,,,,,-40,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step16: Chicken Collecting,home,10,,,22,,,,tutorial_collect_chicken,TID_ANIMATION_CollectEggs,,sc/humans.sc,scarecrow,,Step15: Chicken Speedup3,,,,InstantComplete,,,,,,-40,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step17: Guest appears,home,10,,,1,,,,,,,sc/humans.sc,scarecrow,,,,,,InstantComplete,,,,A,,-90,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step18: Name your farm,home,10,,,1,,,,,,,sc/humans.sc,popup_mike,,,,,,InstantComplete,,,,,,-90,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step19: Guest speaks,home,10,,,1,,,,,,,sc/humans.sc,popup_mike,,,,,,InstantComplete,,,,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step20: Guest leaves,home,10,,,1,,,,,,,sc/humans.sc,popup_mike,,,,,,InstantComplete,,,,A,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step21: Buy Bakery,home,20,,,27,,,,,,,sc/humans.sc,scarecrow,1000,,,,,InstantComplete,,,,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step22: Speedup Bakery,home,20,,,28,,,,,,,sc/humans.sc,scarecrow,,,,,,InstantComplete,,,,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step23: Bake Bread,home,20,,,29,,,,tutorial_bake_bread,TID_ANIMATION_BakeBread,,sc/humans.sc,scarecrow,,Step22: Speedup Bakery,,,,InstantComplete,,,,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
